
iter,llc_rd,llc_wr,mem_rd,mem_wr,decision,token
429,28,20,6,0,-,24080
430,39,18,10,0,H,-255120
431,5,1,2,0,-,-145360
432,0,0,0,0,R,26640
433,29,17,8,0,H,-140320
434,5,2,0,0,-,-18320
435,0,0,0,0,R,153680
436,32,12,8,0,H,-43280
437,7,3,2,0,R,46480
438,30,12,8,0,H,-130480
439,8,2,1,0,-,-44600
440,0,0,0,0,R,127400
441,29,18,7,0,H,-33440
442,4,2,2,0,R,86320
443,28,20,6,0,H,-58400
444,4,4,2,0,R,61360
445,30,16,7,0,H,-109480
446,5,1,0,0,R,12520
447,29,17,8,0,H,-154440
448,8,4,2,0,-,-74680
449,0,0,0,0,R,97320
450,31,15,7,0,H,-83520
451,5,1,0,0,R,38480
452,30,15,8,0,H,-138480
453,8,4,2,0,-,-58720
454,0,0,0,0,R,113280
455,28,16,6,0,H,-31440
456,4,3,2,0,R,88320
457,31,14,8,0,H,-98640
458,6,4,0,0,R,13360
459,30,16,8,0,H,-163600
460,6,3,2,0,-,-63840
461,0,0,0,0,R,108160
462,33,10,8,0,H,-98800
463,7,2,2,0,-,-9040
464,0,0,0,0,R,162960
465,29,18,6,0,-,8240
466,36,22,9,0,H,-234840
467,4,2,2,0,-,-115080
468,0,0,0,0,R,56920
469,29,18,6,0,H,-97800
470,8,5,1,0,-,-11920
471,0,0,0,0,R,160080
472,28,17,6,0,-,15360
473,37,21,9,0,H,-237720
474,7,1,2,0,-,-147960
475,0,0,0,0,R,24040
476,30,16,8,0,H,-152920
477,6,4,1,0,-,-47040
478,0,0,0,0,R,124960
479,30,16,7,0,H,-45880
480,4,3,2,0,R,73880
481,31,14,8,0,H,-113080
482,6,3,1,0,-,-7200
483,0,0,0,0,R,164800
484,31,15,7,0,H,-16040
485,4,1,1,0,R,109840
486,29,17,8,0,H,-57120
487,5,2,0,0,R,64880
488,29,14,8,0,H,-102080
489,7,3,2,0,-,-12320
490,0,0,0,0,R,159680
491,29,19,6,0,-,4960
492,37,21,9,0,H,-248120
493,8,2,2,0,-,-168360
494,0,0,0,0,R,3640
495,31,14,8,0,H,-183320
496,5,2,0,0,-,-61320
497,0,0,0,0,R,110680
498,28,18,8,0,H,-46280
499,5,3,1,0,R,69600
500,31,14,7,0,H,-111240
501,6,3,1,0,-,-5360
502,0,0,0,0,R,166640
503,31,14,8,0,H,-20320
504,6,2,2,0,R,79440
505,30,16,7,0,H,-91400
506,5,3,1,0,R,24480
507,30,16,8,0,H,-152480
508,6,2,1,0,-,-46600
509,0,0,0,0,R,125400
510,29,18,7,0,H,-35440
511,7,2,2,0,R,54320
512,31,14,8,0,H,-132640
513,8,4,1,0,-,-46760
514,0,0,0,0,R,125240
515,32,13,8,0,H,-71720
516,3,2,0,0,R,70280
517,30,15,8,0,H,-106680
518,7,2,2,0,-,-16920
519,0,0,0,0,R,155080
520,31,16,6,0,H,-19640
521,6,2,0,0,R,92360
522,31,13,8,0,H,-94600
523,4,0,2,0,R,25160
524,29,16,7,0,H,-135680
525,6,2,2,0,-,-35920
526,0,0,0,0,R,136080
527,31,15,7,0,H,-44760
528,7,3,0,0,R,57240
529,31,14,8,0,H,-129720
530,4,2,2,0,-,-9960
531,0,0,0,0,R,162040
532,31,13,8,0,H,-24920
533,6,4,0,0,R,87080
534,31,14,8,0,H,-99880
535,4,3,2,0,R,19880
536,29,18,6,0,H,-134840
537,5,2,1,0,-,-18960
538,0,0,0,0,R,153040
539,30,15,8,0,H,-23920
540,6,5,1,0,R,81960
541,28,16,7,0,H,-68880
542,6,3,1,0,R,37000
543,29,17,7,0,H,-123840
544,5,3,2,0,-,-14080
545,0,0,0,0,R,157920
546,30,16,7,0,H,-12920
547,6,3,0,0,R,99080
548,29,17,8,0,H,-67880
549,4,2,1,0,R,58000
550,30,16,7,0,H,-112840
551,7,2,2,0,-,-23080
552,0,0,0,0,R,148920
553,30,15,8,0,H,-28040
554,5,2,1,0,R,87840
555,29,17,7,0,H,-73000
556,8,7,2,0,R,6760
557,27,17,6,0,H,-127960
558,4,1,2,0,-,-8200
559,0,0,0,0,R,163800
560,31,15,7,0,H,-17040
561,7,5,0,0,R,84960
562,29,16,8,0,H,-82000
563,7,3,2,0,R,7760
564,30,17,7,0,H,-163080
565,4,2,0,0,-,-31080
566,0,0,0,0,R,140920
567,30,16,8,0,H,-36040
568,5,2,1,0,R,79840
569,30,16,7,0,H,-91000
570,7,1,2,0,-,-1240
571,0,0,0,0,R,170760
572,29,17,8,0,-,3800
573,38,21,9,0,H,-259280
574,5,3,1,0,-,-143400
575,0,0,0,0,R,28600
576,30,16,7,0,H,-142240
577,6,3,1,0,-,-36360
578,0,0,0,0,R,135640
579,30,15,8,0,H,-41320
580,6,2,1,0,R,64560
581,29,18,7,0,H,-96280
582,6,2,2,0,R,3480
583,30,15,8,0,H,-173480
584,5,1,1,0,-,-57600
585,0,0,0,0,R,114400
586,30,16,7,0,H,-56440
587,5,2,2,0,R,53320
588,29,18,7,0,H,-107520
589,6,2,0,0,R,4480
590,29,17,8,0,H,-162480
591,7,3,1,0,-,-66600
592,0,0,0,0,R,105400
593,27,17,7,0,H,-35440
594,5,3,1,0,R,80440
595,31,15,7,0,H,-100400
596,5,3,1,0,R,15480
597,30,15,8,0,H,-161480
598,5,1,1,0,-,-45600
599,0,0,0,0,R,126400
600,31,14,7,0,H,-54440
601,5,3,1,0,R,61440
602,32,12,8,0,H,-135520
603,5,3,2,0,-,-25760
604,0,0,0,0,R,146240
605,31,15,8,0,H,-40720
606,6,3,0,0,R,71280
607,30,16,8,0,H,-105680
608,5,1,2,0,R,4080
609,27,18,6,0,H,-130640
610,7,5,2,0,-,-40880
611,0,0,0,0,R,131120
612,30,17,7,0,H,-39720
613,4,2,1,0,R,86160
614,30,15,8,0,H,-90800
615,8,1,2,0,-,-11040
616,0,0,0,0,R,160960
617,29,18,6,0,-,6240
618,41,15,10,0,H,-292960
619,5,2,0,0,-,-170960
620,0,0,0,0,R,1040
621,30,15,8,0,H,-175920
622,6,2,2,0,-,-76160
623,0,0,0,0,R,95840
624,30,17,7,0,H,-75000
625,6,5,0,0,R,37000
626,26,19,6,0,H,-87720
627,6,2,1,0,R,18160
628,31,13,8,0,H,-168800
629,7,3,2,0,-,-79040
630,0,0,0,0,R,92960
631,30,16,7,0,H,-77880
632,7,4,0,0,R,24120
633,30,15,8,0,H,-152840
634,5,4,2,0,-,-43080
635,0,0,0,0,R,128920
636,30,16,7,0,H,-41920
637,6,3,0,0,R,70080
638,31,13,8,0,H,-116880
639,4,0,2,0,R,2880
640,31,15,7,0,H,-177960
641,8,3,1,0,-,-92080
642,0,0,0,0,R,79920
643,29,14,7,0,H,-80920
644,5,2,2,0,R,28840
645,30,16,7,0,H,-142000
646,7,3,0,0,-,-40000
647,0,0,0,0,R,132000
648,28,18,8,0,H,-24960
649,5,1,1,0,R,90920
650,31,15,7,0,H,-89920
651,6,4,1,0,R,15960
652,30,15,8,0,H,-161000
653,5,0,1,0,-,-45120
654,0,0,0,0,R,126880
655,31,14,7,0,H,-53960
656,5,2,1,0,R,61920
657,33,11,8,0,H,-145040
658,6,1,2,0,-,-45280
659,0,0,0,0,R,126720
660,31,15,7,0,H,-54120
661,6,4,1,0,R,51760
662,30,15,8,0,H,-125200
663,5,4,1,0,-,-9320
664,0,0,0,0,R,162680
665,29,17,7,0,-,1840
666,39,18,10,0,H,-277360
667,5,3,2,0,-,-167600
668,0,0,0,0,R,4400
669,31,15,7,0,H,-176440
670,5,3,0,0,-,-54440
671,0,0,0,0,R,117560
672,30,16,8,0,H,-59400
673,6,4,1,0,R,46480
674,31,15,7,0,H,-134360
675,6,3,1,0,-,-28480
676,0,0,0,0,R,143520
677,29,17,8,0,H,-23440
678,7,5,0,0,R,78560
679,29,12,8,0,H,-88400
680,5,5,2,0,R,21360
681,30,16,7,0,H,-149480
682,8,5,0,0,-,-57480
683,0,0,0,0,R,114520
684,30,15,8,0,H,-62440
685,6,3,2,0,R,37320
686,31,13,8,0,H,-149640
687,5,3,0,0,-,-27640
688,0,0,0,0,R,144360
689,28,19,8,0,H,-12600
690,6,4,1,0,R,93280
691,30,16,7,0,H,-77560
692,9,5,2,0,-,-7800
